"","FIRE_NAME","FIRE_DAY","FIRE_MONTH","FIRE_YEAR","DATA_SOURC","CAUSE","REPORTED_A","SIZE_CLASS","AGENCY","COMMENTS","IGNITION_D","CONT_DATE","REGION_NUM","FOREST_NUM","ICS_CODE","ACRES","HA","SIZE_CLASS_"
"1","HAUSER",14,7,2005,"HD",4,12,"C","USF","",20050714,20050716,5,2,"CNF",123.6,50.02,"10-99.9 acres"
"2","PI PI-INDIAN DIGGING",18,8,1924,"UNKNOWN",9,0,"G","USF","",19240818,19240000,5,3,"ENF",8947.79,3621.04,"5000+ acres"
"3","CASCADE",7,6,1924,"UNKNOWN",9,0,"C","USF","",19240607,19240000,5,19,"ENF",43.08,17.43,"10-99.9 acres"
"4","TELLS CK",23,9,1924,"UNKNOWN",1,0,"C","USF","",19240923,19240000,5,3,"ENF",15.9,6.44,"10-99.9 acres"
"5","UPPER DESOLATION VAL",13,8,1924,"UNKNOWN",9,0,"D","USF","",19240813,19240000,5,3,"ENF",143.21,57.95,"100-299.9 acres"
"6","",0,0,1924,"UNKNOWN",9,0,"C","USF","",19240000,19240000,5,3,"ENF",15.59,6.31,"10-99.9 acres"
"7","BADGER HILL",4,7,1924,"UNKNOWN",9,0,"E","USF","",19240704,19240000,5,3,"ENF",638.22,258.28,"300-999.9 acres"
"8","BULTER",23,6,1924,"UNKNOWN",9,0,"C","USF","",19240623,19240000,5,3,"ENF",20.78,8.41,"10-99.9 acres"
"9","CABLE #2",19,5,1924,"UNKNOWN",9,0,"C","USF","",19240519,19240000,5,3,"ENF",20.45,8.27,"10-99.9 acres"
"10","BEACHES",6,6,1924,"UNKNOWN",9,0,"C","USF","",19240606,19240000,5,3,"ENF",92.54,37.45,"10-99.9 acres"
"11","",0,0,1926,"UNKNOWN",9,0,"E","USF","",19260000,19260000,5,6,"LNF",358.26,144.98,"300-999.9 acres"
"12","",0,0,1926,"UNKNOWN",1,0,"D","USF","",19260000,19260000,5,6,"LNF",214.63,86.86,"100-299.9 acres"
"13","",0,0,1926,"UNKNOWN",9,0,"D","USF","",19260000,19260000,5,6,"LNF",204.39,82.71,"100-299.9 acres"
"14","DOLLY VARDAN",6,5,1949,"UNKNOWN",3,0,"B","USF","",19490506,19490000,5,10,"SRF",2.99,1.21,"0.26-9.9 acres"
"15","TISH TANG",13,8,1949,"UNKNOWN",5,0,"B","USF","",19490813,19490000,5,10,"SRF",2.99,1.21,"0.26-9.9 acres"
"16","HOAGLIN",11,9,1949,"UNKNOWN",9,0,"B","USF","",19490911,19490000,5,10,"SRF",2.99,1.21,"0.26-9.9 acres"
"17","WILDER",18,8,1949,"UNKNOWN",5,0,"D","USF","",19490818,19490000,5,10,"SRF",230.8,93.4,"100-299.9 acres"
"18","CAUTION",18,9,1949,"UNKNOWN",4,0,"C","USF","",19490918,19490000,5,10,"SRF",11.59,4.69,"10-99.9 acres"
"19","HOLLOW",4,8,1949,"UNKNOWN",4,0,"D","USF","",19490804,19490000,5,10,"SRF",103.3,41.81,"100-299.9 acres"
"20","STICKER BASIN",18,6,1949,"UNKNOWN",1,0,"C","USF","",19490618,19490000,5,10,"SRF",34.22,13.85,"10-99.9 acres"
"21","N/A",29,9,1917,"UNKNOWN",5,0,"F","USF","",19170929,19170000,5,10,"SRF",2970.01,1201.92,"1000-4999.9 acres"
"22","SERPENTINE CAMP",3,9,1917,"UNKNOWN",5,0,"E","USF","",19170903,19170000,5,10,"SRF",996.83,403.4,"300-999.9 acres"
"23","CAMP CREEK #1",6,8,1917,"UNKNOWN",5,0,"G","USF","",19170806,19170000,5,10,"SRF",5133.94,2077.63,"5000+ acres"
"24","",0,0,1945,"UNKNOWN",9,0,"C","USF","",19450000,19450000,5,9,"MDF",17.99,7.28,"10-99.9 acres"
"25","",0,0,1945,"UNKNOWN",9,0,"C","USF","",19450000,19450000,5,9,"MDF",73.01,29.55,"10-99.9 acres"
"26","",0,0,1945,"UNKNOWN",9,0,"E","USF","",19450000,19450000,5,9,"MDF",496.52,200.93,"300-999.9 acres"
"27","STATE LINE",21,7,1945,"UNKNOWN",1,0,"C","USF","",19450721,19450000,5,9,"MDF",68.59,27.76,"10-99.9 acres"
"28","BOLES",16,9,1945,"UNKNOWN",9,0,"C","USF","",19450916,19450000,5,9,"MDF",28,11.33,"10-99.9 acres"
"29","JAP CAMP",19,7,1945,"UNKNOWN",9,0,"E","USF","",19450719,19450000,5,9,"MDF",341.89,138.36,"300-999.9 acres"
"30","HAY",3,9,1952,"UNKNOWN",9,0,"E","USF","",19520903,19520000,5,11,"PNF",400.81,162.2,"300-999.9 acres"
"31","",0,0,1911,"UNKNOWN",1,0,"E","USF","",19110000,19110000,5,15,"SNF",419.39,169.72,"300-999.9 acres"
"32","",0,0,1917,"UNKNOWN",1,0,"E","USF","",19170000,19170000,5,6,"LNF",614.3,248.6,"300-999.9 acres"
"33","",0,0,1917,"UNKNOWN",9,0,"E","USF","",19170000,19170000,5,6,"LNF",477.52,193.25,"300-999.9 acres"
"34","",0,0,1917,"UNKNOWN",1,0,"E","USF","",19170000,19170000,5,6,"LNF",327.39,132.49,"300-999.9 acres"
"35","",0,0,1917,"UNKNOWN",9,0,"F","USF","",19170000,19170000,5,6,"LNF",1124.67,455.14,"1000-4999.9 acres"
"36","",0,0,1917,"UNKNOWN",9,0,"E","USF","",19170000,19170000,5,6,"LNF",736.81,298.18,"300-999.9 acres"
"37","",0,0,1917,"UNKNOWN",1,0,"F","USF","",19170000,19170000,5,6,"LNF",1349.88,546.28,"1000-4999.9 acres"
"38","",0,0,1917,"UNKNOWN",9,0,"F","USF","",19170000,19170000,5,6,"LNF",1251.61,506.51,"1000-4999.9 acres"
"39","",0,0,1917,"UNKNOWN",9,0,"G","USF","",19170000,19170000,5,6,"LNF",12700.77,5139.82,"5000+ acres"
"40","",0,0,1917,"UNKNOWN",9,0,"G","USF","",19170000,19170000,5,6,"LNF",9203.51,3724.53,"5000+ acres"
"41","",0,0,1917,"UNKNOWN",9,0,"F","USF","",19170000,19170000,5,6,"LNF",1481.31,599.47,"1000-4999.9 acres"
"42","",0,0,1917,"UNKNOWN",1,0,"E","USF","",19170000,19170000,5,13,"SQF",649.09,262.68,"300-999.9 acres"
"43","",0,0,1917,"UNKNOWN",9,0,"C","USF","",19170000,19170000,5,13,"SQF",9.02,3.65,"10-99.9 acres"
"44","",0,0,1917,"UNKNOWN",9,0,"E","USF","",19170000,19170000,5,13,"SQF",321.9,130.27,"300-999.9 acres"
"45","",0,0,1917,"UNKNOWN",9,0,"E","USF","",19170000,19170000,5,13,"SQF",329.43,133.32,"300-999.9 acres"
"46","",0,0,1917,"UNKNOWN",1,0,"C","USF","",19170000,19170000,5,13,"SQF",28.08,11.36,"10-99.9 acres"
"47","",0,0,1917,"UNKNOWN",1,0,"E","USF","",19170000,19170000,5,13,"SQF",431.45,174.6,"300-999.9 acres"
"48","",0,0,1917,"UNKNOWN",1,0,"C","USF","",19170000,19170000,5,13,"SQF",10.28,4.16,"10-99.9 acres"
"49","",0,0,1917,"UNKNOWN",1,0,"E","USF","",19170000,19170000,5,13,"SQF",672.69,272.23,"300-999.9 acres"
"50","",0,0,1917,"UNKNOWN",9,0,"C","USF","",19170000,19170000,5,13,"SQF",64.16,25.97,"10-99.9 acres"
"51","",0,0,1917,"UNKNOWN",9,0,"C","USF","",19170000,19170000,5,13,"SQF",42.63,17.25,"10-99.9 acres"
"52","",0,0,1917,"UNKNOWN",9,0,"C","USF","",19170000,19170000,5,13,"SQF",15.5,6.27,"10-99.9 acres"
"53","",0,0,1917,"UNKNOWN",9,0,"F","USF","",19170000,19170000,5,13,"SQF",1615.87,653.92,"1000-4999.9 acres"
"54","",0,0,1919,"UNKNOWN",1,0,"C","USF","",19190000,19190000,5,15,"SNF",44,17.8,"10-99.9 acres"
"55","",0,0,1919,"UNKNOWN",1,0,"D","USF","",19190000,19190000,5,15,"SNF",144.31,58.4,"100-299.9 acres"
"56","",0,0,1919,"UNKNOWN",9,0,"E","USF","",19190000,19190000,5,6,"LNF",509.62,206.24,"300-999.9 acres"
"57","",0,0,1919,"UNKNOWN",1,0,"D","USF","",19190000,19190000,5,6,"LNF",247,99.96,"100-299.9 acres"
"58","",0,0,1919,"UNKNOWN",1,0,"B","USF","",19190000,19190000,5,9,"MDF",4.32,1.75,"0.26-9.9 acres"
"59","",0,0,1919,"UNKNOWN",1,0,"C","USF","",19190000,19190000,5,9,"MDF",47.3,19.14,"10-99.9 acres"
"60","",0,0,1919,"UNKNOWN",9,0,"C","USF","",19190000,19190000,5,9,"MDF",54.57,22.08,"10-99.9 acres"
"61","",0,0,1919,"UNKNOWN",1,0,"D","USF","",19190000,19190000,5,9,"MDF",232.41,94.05,"100-299.9 acres"
"62","",0,0,1919,"UNKNOWN",1,0,"D","USF","",19190000,19190000,5,9,"MDF",150.2,60.79,"100-299.9 acres"
"63","",0,0,1923,"UNKNOWN",9,0,"C","USF","",19230000,19230000,5,14,"SHF",91.56,37.05,"10-99.9 acres"
"64","",0,0,1923,"UNKNOWN",1,0,"D","USF","",19230000,19230000,5,14,"SHF",141.64,57.32,"100-299.9 acres"
"65","",0,0,1923,"UNKNOWN",1,0,"D","USF","",19230000,19230000,5,14,"SHF",106.12,42.95,"100-299.9 acres"
"66","",0,0,1923,"UNKNOWN",9,0,"E","USF","",19230000,19230000,5,14,"SHF",531.53,215.1,"300-999.9 acres"
