"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
Canada,T,33476688,14569633,13320614
A0A,,46297,23950,18701
A0B,,20985,12585,8854
A0C,,12834,8272,5482
A0E,,23384,12733,9659
A0G,,36264,21153,14967
A0H,,18499,10355,7561
A0J,,8093,4679,3395
A0K,,27835,14300,11235
A0L,,7412,3420,2996
A0M,,6318,3260,2698
A0N,,14679,8319,6317
A0P,,13021,5133,4405
A0R,,2495,1146,950
A1A,,29505,12670,11918
A1B,,17781,8775,7642
A1C,,13213,7201,6368
A1E,,28411,13434,12571
A1G,,5430,2392,2284
A1H,,3467,1313,1249
A1K,,11295,4072,3954
A1L,,17755,6925,6518
A1M,,7359,2823,2691
A1N,,24298,10224,9650
A1S,,6555,2332,2305
A1V,,11065,4755,4521
A1W,,11064,4221,4049
A1X,,13749,5293,5077
A1Y,,5270,2305,2101
A2A,,8965,4044,3808
A2B,,4950,2311,1991
A2H,,25595,11572,10475
A2N,,8813,4147,3838
A2V,,7367,2976,2859
A5A,,7974,3463,3158
A8A,,6539,3722,2595
B0C,,2807,1688,1164
B0E,,26573,14472,11120
B0H,,10478,5789,4386
B0J,,40014,22689,17477
B0K,,36827,20135,15637
B0L,,2547,1650,1130
B0M,,17716,9602,7539
B0N,,39909,18244,16299
B0P,,40186,17914,16347
B0R,,5895,3668,2621
B0S,,17519,9797,7922
B0T,,15322,9104,6756
B0V,,5923,3318,2686
B0W,,31530,16032,13438
B1A,,16273,7301,6883
B1B,,1285,647,562
B1C,,1884,937,801
B1E,,1708,757,705
B1G,,1991,891,832
B1H,,10004,4550,4225
B1J,,1031,658,469
B1K,,3138,2095,1327
B1L,,4992,2001,1927
B1M,,1380,547,516
B1N,,5893,2640,2436
B1P,,14453,7309,6654
B1R,,4348,1790,1723
B1S,,8785,3849,3561
B1T,,368,426,176
B1V,,6428,2845,2709
B1W,,3252,939,888
B1X,,849,591,362
B1Y,,6199,2814,2511
B2A,,8292,3690,3460
B2C,,300,190,130
B2E,,36,65,15
B2G,,14492,7404,5919
B2H,,15351,7262,6701
B2J,,95,118,47
B2N,,20134,9896,9150
B2R,,2448,996,948
B2S,,7374,2843,2729
B2T,,16194,5934,5727
B2V,,12589,4640,4556
B2W,,31812,12679,12397
B2X,,11891,4919,4697
B2Y,,14648,7704,7232
B2Z,,8464,3245,3120
B3A,,19745,11413,10440
B3B,,1175,432,407
B3E,,6891,2689,2581
B3G,,10763,4184,4068
B3H,,18874,10877,9136
B3J,,5455,4152,3250
B3K,,20894,11503,10552
B3L,,17431,8805,8169
B3M,,29133,14396,13769
B3N,,12936,6469,6082
B3P,,8624,3913,3724
B3R,,8003,3942,3547
B3S,,10741,4963,4832
B3T,,16452,6338,6062
B3V,,5945,2403,2287
B3Z,,16170,6369,5925
B4A,,17508,7254,6871
B4B,,10232,3448,3352
B4C,,18922,7378,7223
B4E,,16974,6393,6229
B4G,,4817,1703,1669
B4H,,13971,7325,6131
B4N,,17608,8047,7646
B4P,,7866,4053,3448
B4R,,2994,1193,1131
B4V,,19714,9462,8570
B5A,,12688,6335,5597
B6L,,12840,5237,4996
B9A,,4734,2205,1968
C0A,,43792,22107,16991
C0B,,29418,14720,11457
C1A,,29357,13965,12936
C1B,,8533,3498,3274
C1C,,2630,1228,1136
C1E,,10122,4011,3719
C1N,,16352,7414,6949
E1A,,40191,18215,16805
E1B,,19149,8038,7750
E1C,,24231,13004,11746
E1E,,10442,4978,4709
E1G,,20134,7760,7495
E1H,,7320,3216,3076
E1J,,3377,1314,1291
E1N,,11733,5408,4832
E1V,,13573,6199,5755
E1W,,6936,3314,3083
E1X,,14015,6173,5729
E2A,,17714,8748,7873
E2E,,19437,7192,6968
E2G,,4978,1821,1785
E2H,,4819,2012,1911
E2J,,16506,7626,7183
E2K,,17722,8753,7921
E2L,,8092,5002,4218
E2M,,19537,8791,8231
E2N,,4358,1718,1657
E2P,,1454,583,556
E2R,,10,4,4
E2S,,6908,2652,2521
E2V,,14709,5785,5519
E3A,,27273,11883,11353
E3B,,35535,17201,15727
E3C,,10933,4191,4112
E3E,,4394,1647,1604
E3G,,8120,3158,3057
E3L,,9325,4294,3996
E3N,,14319,6761,6228
E3V,,11818,5935,5476
