,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,visibility,windBearing,windSpeed,elevation,fire
0,5.07,0.33,11.08,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.96,376.115814209,1
1,5.07,0.33,11.08,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.96,376.115814209,1
2,5.07,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.95,364.218139648,1
3,5.07,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.95,364.218139648,1
4,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,372.409423828,1
5,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,372.409423828,1
6,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,370.785430908,1
7,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,370.785430908,1
8,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,337.444610596,1
9,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,337.444610596,1
10,5.07,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.95,350.483734131,1
11,5.07,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.95,350.483734131,1
12,5.15,0.35,11.12,0.84,partly-cloudy-night,0.0,0.0,,1019.92,10.0,121.0,6.89,350.474365234,1
13,5.15,0.35,11.12,0.84,partly-cloudy-night,0.0,0.0,,1019.92,10.0,121.0,6.89,350.474365234,1
14,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,349.258148193,1
15,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,349.258148193,1
16,5.36,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,352.960235596,1
17,5.36,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,352.960235596,1
18,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,351.592163086,1
19,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,351.592163086,1
20,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,361.0,1
21,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,361.0,1
22,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,352.800537109,1
23,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,352.800537109,1
24,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,366.0,1
25,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,366.0,1
26,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,364.251037598,1
27,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,364.251037598,1
28,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,363.875030518,1
29,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,363.875030518,1
30,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,361.054260254,1
31,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,361.054260254,1
32,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,379.011383057,1
33,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,353.0,1
34,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,353.0,1
35,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.73,363.164672852,1
36,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,363.164672852,1
37,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,382.0,1
38,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,382.0,1
39,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,354.578491211,1
40,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,354.578491211,1
41,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,363.101318359,1
42,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,359.0,1
43,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,359.0,1
44,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,336.753051758,1
45,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,336.753051758,1
46,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,380.0,1
47,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,380.0,1
48,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,367.458740234,1
49,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,367.458740234,1
50,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,371.504364014,1
51,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,371.504364014,1
52,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,365.314483643,1
53,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,365.314483643,1
54,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,363.958679199,1
55,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,363.958679199,1
56,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,368.846221924,1
57,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,368.846221924,1
58,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,1440.48706055,1
59,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,1440.48706055,1
60,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,1259.9786377,1
