,index,d,lat,lon,time,apparentTemperature,cloudCover,cloudCoverError,data,dewPoint,dewPointError,humidity,humidityError,icon,isd-stations,precipIntensity,precipProbability,precipType,pressure,pressureError,sources,summary,temperature,temperatureError,units,visibility,visibilityError,windBearing,windBearingError,windSpeed,windSpeedError,fire
0,0,2016-06-21 09:35:21.000000,33.4237519861,-86.0464868062,1466510400,69.29,0.02,,,64.97,,0.86,,clear-day,,0,0,,1021.96,,,Clear,69.29,,,10,,232.0,,1.06,,0.0
1,1,2016-07-16 07:29:59.000000,42.8587633977,-103.161507063,1468670400,62.18,0.03,,,55.6,,0.79,,clear-day,,0,0,,1009.45,,,Clear,62.18,,,10,,175.0,,14.61,,0.0
2,2,2016-05-25 02:29:31.000000,34.1356377243,-73.9508076804,1464177600,69.25,0,,,62.45,,0.79,,clear-day,,0,0,,1022.91,,,Clear,69.25,,,10,,273.0,,8.97,,0.0
3,3,2016-05-14 01:05:10.000000,41.8999718511,-108.244800659,1463227200,31.58,0.32,,,31.49,,0.86,,partly-cloudy-day,,0,0,,1021.22,,,Partly Cloudy,35.13,,,10,,54.0,,4.11,,0.0
4,4,2016-08-19 17:24:06.000000,25.396932011,-69.5025112006,1471608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5,5,2016-06-28 21:44:45.000000,46.0824735344,-97.8409818127,1467115200,54.88,0,,,50.51,,0.85,,clear-day,,0,0,,1024.87,,,Clear,54.88,,,10,,34.0,,4.53,,0.0
6,6,2016-06-08 23:29:38.000000,27.4919184289,-70.3000623923,1465387200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
7,7,2016-07-29 06:32:43.000000,42.3716582121,-98.3979734737,1469793600,63.44,0.39,,,61.17,,0.92,,partly-cloudy-day,,0.0053,0.23,rain,1017.71,,,Partly Cloudy,63.44,,,8.64,,6.0,,2.25,,0.0
8,8,2016-05-10 17:08:41.000000,36.3378669482,-81.4061643706,1462881600,60.64,0,,,55.78,,0.84,,clear-day,,0,0,,1019.75,,,Clear,60.64,,,9.64,,10.0,,3.59,,0.0
9,9,2016-08-03 10:26:33.000000,40.7426903665,-107.890935229,1470225600,56.35,0,,,42.72,,0.6,,clear-night,,0,0,,1014.75,,,Clear,56.35,,,10,,145.0,,3.41,,0.0
10,10,2016-08-19 20:32:12.000000,47.6900194348,-97.8372861433,1471608000,55.15,0.03,,,52.75,,0.92,,clear-day,,0,0,,1013.45,,,Clear,55.15,,,10,,325.0,,5.99,,0.0
11,11,2016-05-12 09:57:03.000000,45.6318524471,-107.089259538,1463054400,29.07,0.04,,,27.74,,0.76,,clear-day,,0,0,,1023.58,,,Clear,34.58,,,8.92,,192.0,,6.31,,0.0
12,12,2016-08-10 11:48:09.000000,42.7638679093,-71.0802536178,1470830400,71.7,0.86,,,63.03,,0.74,,partly-cloudy-day,,0,0,,1022.21,,,Mostly Cloudy,71.7,,,9.58,,186.0,,6.36,,0.0
